animal,loc,ch,bf,bf_deviation,isi_cv,sync_n,r_max,r,d_max,d,sfr,br,bdur_max,bdur,nspikes_burst_max,nspikes_burst,p_bursting_time,p_bursting_spike,ibi_cv,group
B8,7,12,7464.0,-2385.0,0.9314630363925409,3,0.03396746182355636,0.023838757802156458,1.3001158753246382,0.46671621950843195,0.6799768248320005,0.0,,,,,,,,ET_T
B8,7,13,6063.0,-3786.0,0.9664497171879575,7,0.0646949861874198,0.02700657640722928,1.0999639212285919,0.2571023766714803,0.6221064567611919,0.021701388026553206,0.22478847999998663,0.19365887999999623,3.0,3.0,0.004202666499667622,0.10465116279069768,0.6009389813139898,ET_T
B8,7,14,5657.0,-4192.0,0.8050329719688719,8,0.09715406171675933,0.059440138649626474,1.5000529946407215,0.6999819775777303,0.28211804434519167,0.0,,,,,,,,ET_T
B8,7,15,13929.0,4080.0,1.1321422321105261,9,0.06928074952303251,0.036655670186542665,1.2999826106440433,0.8666790059791052,0.4340277605310641,0.0,,,,,,,,ET_T
B8,7,16,17149.0,7300.0,0.912831177960918,2,0.024008080799363916,0.023331740777802333,0.20000692016169494,0.1499846506061403,0.3255208203982981,0.0,,,,,,,,ET_T
B8,7,17,13929.0,4080.0,0.8173160445705653,6,0.07399183620337299,0.04164211847391637,0.20007038399667837,0.08335798644223098,0.36168980044255344,0.0,,,,,,,,ET_T
B8,7,18,16001.0,6152.0,1.1700801304834816,9,0.06587123735078404,0.028105529380206034,0.300094421955013,0.14447288338149503,0.33275461640714915,0.0,,,,,,,,ET_T
B8,7,19,16001.0,6152.0,0.8423501202803586,7,0.032873414699432175,0.021961845059592033,0.20007038399667848,0.1428990886185278,0.5570022926815323,0.0,,,,,,,,ET_T
B8,7,20,17149.0,7300.0,1.0045609415552124,5,0.019204340415028477,0.01677637994705341,0.3000327650472641,0.20000318131658693,0.528067108646128,0.0,,,,,,,,ET_T
B8,7,21,14929.0,5080.0,0.9458425629894525,6,0.039597939123192476,0.02809503692591282,0.10004453911110911,0.06669012799889278,0.3689235964514045,0.0,,,,,,,,ET_T
B8,7,22,13929.0,4080.0,0.9990791537774405,6,0.061401079556863136,0.03284109630268101,0.1000258448855692,0.06668359543584035,0.318287024389447,0.0,,,,,,,,ET_T
B8,7,23,17149.0,7300.0,1.1975910608733116,5,0.01369971827307741,0.009494413244747969,0.3000327650472641,0.22000835029370078,8.405670962284942,0.6655092328142983,0.04423679999999308,0.013653036521738795,5.0,3.260869565217391,0.009086221861167981,0.25817555938037867,0.8266668403527286,ET_T
B8,7,24,13929.0,4080.0,1.148732796056118,1,0.01369971827307741,0.01369971827307741,0.30003276504726417,0.30003276504726417,17.541955321463842,0.0,,,,,,,,ET_T
B8,7,25,14929.0,5080.0,0.8646090030232235,7,0.024650812164309928,0.020806233085583797,0.20004988284390363,0.11431393871413646,0.35445600443370234,0.0,,,,,,,,ET_T
B8,7,26,13929.0,4080.0,1.0225880393160216,11,0.14968475509811718,0.038124754093450106,1.1999879591869262,0.23639052998998666,0.4774305365841705,0.028935184035404276,0.7065600000000103,0.3491839999999975,5.0,3.5,0.010103703302218534,0.21212121212121213,0.315162721546031,ET_T
B8,7,27,14929.0,5080.0,0.8617751729352273,4,0.029549535688519774,0.01957566474914656,0.10004453911110911,0.05001759599916958,0.49189812860187265,0.0,,,,,,,,ET_T
B8,7,28,18380.0,8531.0,0.9249276775327776,3,0.032873414699432175,0.02108311003612277,1.3001158753246382,0.6000366020731829,0.40509257649565983,0.0,,,,,,,,ET_T
B8,7,29,14929.0,5080.0,0.9699858607586493,8,0.039597939123192476,0.023373707439762054,0.30001923500300987,0.11251059563719228,0.4846643325930216,0.007233796008851069,0.20340735999999993,0.20340735999999993,4.0,4.0,0.0014714073489389319,0.05970149253731343,,ET_T
B8,7,30,14929.0,5080.0,1.0407105318127539,14,0.14968475509811718,0.03843678389232769,1.4000084555296124,0.2571660894582792,0.35445600443370234,0.014467592017702138,0.5373132799999922,0.41766911999999934,3.0,3.0,0.006042666426552667,0.12244897959183673,,ET_T
B8,7,31,12996.0,3147.0,1.0645889302646279,8,0.021218283540895146,0.017438806252827878,1.1999585726857087,0.5000273066583253,0.4629629445664684,0.0,,,,,,,,ET_T
B9,6,0,4210.0,3825.0,1.0289369210926333,12,0.11547267907067994,0.04166852200589666,1.8000913720140717,0.4375133409582002,3.4143517161777046,0.028935184035404276,0.0732364800000056,0.056279040000005054,4.0,3.5,0.001628444379736025,0.029661016949152543,0.6069446222506488,ET
B9,6,1,4671.0,4286.0,1.129325850984672,11,0.17025036917544417,0.06919159686022883,1.5001547161630295,0.3682166451622113,0.9620948691771921,0.04340277605310641,0.18800640000000612,0.0955869866666698,4.0,3.1666666666666665,0.004148740575884738,0.14285714285714285,0.8590517284027559,ET
B9,6,2,7080.0,6695.0,1.0356426010706712,10,0.08071179552421738,0.03995580367131302,1.0501749375369653,0.6750064046796341,0.7667823769382133,0.007233796008851069,0.29761535999999467,0.29761535999999467,4.0,4.0,0.0021528888033407355,0.03773584905660377,,ET
B9,6,3,1488.0,1103.0,1.535985390978252,2,0.011267057136861647,0.009728898376886761,3.150511634855191,2.850484408987632,7.414640909072346,0.07957175609736175,0.214630399999999,0.04020782545454438,9.0,3.6363636363636362,0.0031994072802742986,0.03902439024390244,0.9725037241725423,ET
