animal,avg_ibi,avg_spikes_burst,bf,bfr,group,max_spikes_burst,max_sync_bf_dist,max_sync_coef,mean_sync_bf_dist,mean_sync_coef,p_bursting_spikes,p_bursting_time,sfr,sync_n
C2,25.076223969459534,3.0,10732.0,0.019531249223897887,ET,3.0,,0.0,,0.0,11.842105263157894,0.666693447363637,0.4947916470054131,0
C2,18.80170512199402,3.0,8717.0,0.013020832815931924,ET,3.0,,0.0,,0.0,8.333333333333332,0.26781328200049076,0.46874998137354923,0
C2,12.36106750369072,3.6666666666666665,8717.0,0.058593747671693654,ET,6.0,,0.0,,0.0,11.619718309859154,0.7936535087762869,1.848958259862333,0
C2,,,7080.0,0.0,ET,,,0.0,,0.0,0.0,0.0,0.039062498447795774,0
C2,,3.0,7080.0,0.006510416407965962,ET,3.0,,0.0,,0.0,6.521739130434782,0.35127996002515316,0.2994791547664342,0
C2,,,7080.0,0.0,ET,,,0.0,,0.0,0.0,0.0,0.07161458048762558,0
C2,,,6381.0,0.0,ET,,,0.0,,0.0,0.0,0.0,0.052083331263727696,0
C2,,,7080.0,0.0,ET,,,0.0,,0.0,0.0,0.0,0.33854165321423,0
C2,,,7080.0,0.0,ET,,,0.0,,0.0,0.0,0.0,0.11067707893542135,0
C2,,,7080.0,0.0,ET,,,0.0,,0.0,0.0,0.0,0.006510416407965962,0
C2,,,7080.0,0.0,ET,,,0.0,,0.0,0.0,0.0,0.019531249223897887,0
C2,,,7856.0,0.0,ET,,,0.0,,0.0,0.0,0.0,0.019531249223897887,0
C2,,,7080.0,0.0,ET,,,0.0,,0.0,0.0,0.0,0.026041665631863848,0
C2,,,11908.0,0.0,ET,,,0.0,,0.0,0.0,0.0,0.3580729024381279,0
C2,11.330830335617065,3.3333333333333335,7080.0,0.039062498447795774,ET,5.0,,0.0,,0.0,6.153846153846154,0.2972000781317521,2.1158853325889377,0
C4,,,13929.0,0.0,ET,,1448.0,0.03810118704197516,1448.0,0.03810118704197516,0.0,0.0,0.019531249223897887,1
C4,,,9849.0,0.0,ET,,8542.0,0.0352338875696767,5374.333333333333,0.022725579462759642,0.0,0.0,0.07161458048762558,3
C4,,,12996.0,0.0,ET,,1448.0,0.03810118704197516,1448.0,0.03810118704197516,0.0,0.0,0.2994791547664342,1
C4,20.457758744557697,4.0,12996.0,0.026041665631863848,ET,6.0,8542.0,0.0352338875696767,5374.333333333333,0.022725579462759642,5.776173285198556,0.31047996141592815,1.8033853450065713,3
C4,15.950540781021118,3.0,13929.0,0.03255208203982981,ET,3.0,1448.0,0.03810118704197516,1448.0,0.03810118704197516,5.2264808362369335,0.2616802126494959,1.868489509086231,1
C4,,3.0,13929.0,0.006510416407965962,ET,3.0,8542.0,0.0352338875696767,5374.333333333333,0.022725579462759642,1.8633540372670807,0.05581338357673551,1.0481770416825198,3
C4,5.8288179238637285,3.12,13929.0,0.16276041019914905,ET,4.0,1448.0,0.03810118704197516,1448.0,0.03810118704197516,4.382022471910112,0.19762679770085026,11.588541206179412,1
C4,2.9051731967926027,3.1923076923076925,14929.0,0.169270826607115,ET,7.0,8542.0,0.0352338875696767,5374.333333333333,0.022725579462759642,3.454015813566375,0.18007959454935413,15.644530628342206,3
