ind,ch,bf,bf_deviation,isi_cv,sync_n,r_max,r,d_max,d,sfr,br,bdur_max,bdur,nspikes_burst_max,nspikes_burst,p_bursting_time,p_bursting_spike,ibi_cv,animal,group
2,2,13001,-8855.96875,1.026355425,3,0.016034151,0.015128036,0,0,0.4,0.011111111,0.44310528,0.38428672,3,3,0.004269852,0.083333333,,P8,ENT
2,3,29868,8011.03125,1.016926686,8,0.046472916,0.022966497,0,0,0.461111111,0,,,,3,,,,P8,ENT
2,4,29868,8011.03125,1.013122291,8,0.046472916,0.027466733,1.199978041,0.274997255,0.422222222,0.011111111,0.4333568,0.340992,3,3,0.0037888,0.078947368,,P8,ENT
2,5,29868,8011.03125,0.831936798,8,0.048442218,0.02324771,1.199978041,0.149997255,0.477777778,0.005555556,0.38330368,0.38330368,4,4,0.002129465,0.046511628,,P8,ENT
2,6,29868,8011.03125,0.996303613,9,0.032137907,0.021590307,1.199978041,0.133330893,0.477777778,0,,,,4,,,,P8,ENT
2,7,29868,8011.03125,0.940690194,5,0.048442218,0.023290525,0,0,0.422222222,0.022222222,0.35004416,0.26814464,3,3,0.00595877,0.157894737,0.703190533,P8,ENT
2,8,22636,779.03125,1.052720256,2,0.018636141,0.016966315,0.399981594,0.199990797,0.333333333,0,,,,3,,,,P8,ENT
2,9,14934,-6922.96875,0.944682048,1,0.014084555,0.014084555,1,1,0.438888889,0,,,,3,,,,P8,ENT
2,10,22636,779.03125,0.84748218,1,0.016285131,0.016285131,0.399981594,0.399981594,0.327777778,0,,,,3,,,,P8,ENT
2,11,22636,779.03125,1.037681052,5,0.032020866,0.020316596,0.399981594,0.239988956,0.4,0,,,,3,,,,P8,ENT
2,12,22636,779.03125,0.867455481,6,0.036490846,0.024886734,0.399981594,0.199990797,0.355555556,0,,,,3,,,,P8,ENT
2,13,22636,779.03125,0.799759191,4,0.015300173,0.014862578,0.399981594,0.199990797,0.488888889,0,,,,3,,,,P8,ENT
2,14,22636,779.03125,0.914250962,7,0.029972037,0.02331738,0.600018406,0.257137598,0.538888889,0,,,,3,,,,P8,ENT
2,15,22636,779.03125,1.049460072,7,0.035643811,0.023325398,0.399981594,0.228560911,0.444444444,0,,,,3,,,,P8,ENT
2,16,14934,-6922.96875,0.954673834,0,,,,,0.461111111,0,,,,3,,,,P8,ENT
2,17,22636,779.03125,0.987672253,13,0.12680767,0.045372587,0,0,0.383333333,0,,,,3,,,,P8,ENT
2,18,21120,-736.96875,1.069017802,9,0.177027931,0.056506546,0,0,0.338888889,0,,,,3,,,,P8,ENT
2,19,29868,8011.03125,0.907087132,11,0.148363838,0.054251444,0,0,0.35,0.011111111,0.47415296,0.46854144,3,3,0.005206016,0.095238095,,P8,ENT
2,20,22636,779.03125,1.198103165,12,0.07776426,0.037034044,0.100009208,0.008334101,0.4,0,,,,3,,,,P8,ENT
2,21,16006,-5850.96875,0.897886957,9,0.057702038,0.022108705,0.899987822,0.099998647,0.344444444,0,,,,3,,,,P8,ENT
2,22,16006,-5850.96875,0.923061959,3,0.035194776,0.021624247,0.899987822,0.466664683,0.472222222,0.011111111,0.33923072,0.31612928,4,3.5,0.003512548,0.082352941,,P8,ENT
2,23,16006,-5850.96875,1.020657683,11,0.099047385,0.039528287,0.899987822,0.209090664,0.35,0.011111111,0.54509568,0.38404096,3,3,0.004267122,0.095238095,,P8,ENT
2,24,22636,779.03125,0.877752493,3,0.069451548,0.047927063,0.100009208,0.033336403,0.277777778,0,,,,3,,,,P8,ENT
2,25,16006,-5850.96875,0.828423563,10,0.080729708,0.044232981,0.899987822,0.22999973,0.344444444,0,,,,3,,,,P8,ENT
2,26,21120,-736.96875,0.788735359,8,0.12680767,0.03792819,0.499990801,0.187500407,0.333333333,0.011111111,0.36315136,0.23789568,3,3,0.002643285,0.1,,P8,ENT
2,27,22636,779.03125,0.947357282,10,0.148363838,0.055917454,0.500006228,0.150000326,0.322222222,0,,,,3,,,,P8,ENT
2,28,22636,779.03125,1.060362252,9,0.077194896,0.029240764,0.500006228,0.166667029,0.366666667,0,,,,3,,,,P8,ENT
2,29,16006,-5850.96875,0.897394986,11,0.075504703,0.032683899,0.899987822,0.254545775,0.344444444,0,,,,3,,,,P8,ENT
2,30,16006,-5850.96875,0.937452726,7,0.03430415,0.020655047,0.899987822,0.342858072,0.422222222,0.005555556,0.45555712,0.45555712,4,4,0.002530873,0.052631579,,P8,ENT
